,XOM_adjOpen,COP_adjOpen,CVX_adjOpen,TTE_adjOpen,OXY_adjOpen,XOM_adjClose,COP_adjClose,CVX_adjClose,TTE_adjClose,OXY_adjClose
2016-11-01 00:00:00+00:00,63.00338044,38.1922715708,82.7070610462,35.4173835578,57.3308865174,63.1165601653,37.8187742596,83.4674235636,35.2550876948,54.6008443023
2016-11-02 00:00:00+00:00,62.8524741395,37.2802432527,82.8168040899,35.1960710174,54.3792756587,62.9656538649,37.5495087561,82.6129955801,34.3845917023,53.6433512355
2016-11-03 00:00:00+00:00,63.1391961104,37.7492863877,82.7227386238,34.6132813275,53.8095277182,63.1241054803,37.8708901635,82.6129955801,34.6427896662,53.3743035969
2016-11-04 00:00:00+00:00,63.1014695353,37.6450545799,82.5032525363,34.3550833636,53.3426509336,63.0561976451,37.141267509,82.1348294609,34.3993458717,52.6937713346
2016-11-07 00:00:00+00:00,63.7503666272,37.7840303237,83.0911616993,34.7534459364,53.3901299286,64.4747168694,38.1488416509,83.7574587507,34.9747584769,53.2160402801
2016-11-08 00:00:00+00:00,64.4935054202,37.8969481154,83.5379726632,34.9304959688,53.0894296266,64.9349810858,38.5049669942,84.1023654596,35.0559064084,52.9311663098
2016-11-09 00:00:00+00:00,63.9759132606,37.7579723717,83.1225168547,34.5026250573,52.8203819881,65.65047613,39.7210047517,84.376723069,35.0927918318,52.9390794757
2016-11-10 00:00:00+00:00,65.3916800502,39.6688888478,84.2983351806,35.1739397633,52.8520346514,66.2594080825,38.8958362734,84.4943049016,34.8862334607,52.0053259064
2016-11-11 00:00:00+00:00,65.8636023134,38.4875950262,84.2513024476,34.5100021419,51.728365102,65.2090004644,38.1662136189,83.592844185,34.0304916376,51.3960121367
2016-11-14 00:00:00+00:00,64.9273694364,37.8535181955,83.2087435319,33.2706519154,51.0953118347,64.9121461376,38.3312473145,83.5536502408,33.6321290648,52.0448917356
2016-11-15 00:00:00+00:00,65.2851169585,38.4354791223,84.2591412364,34.0895083151,52.4642895252,66.0843401462,39.3301354725,85.4114431958,34.5837729888,54.1972728444
2016-11-16 00:00:00+00:00,66.0234469509,39.2259036647,85.6611124186,34.1780333313,54.0310963617,65.2698936597,38.5483969141,85.7798662713,34.0304916376,54.5454521414
2016-11-17 00:00:00+00:00,65.7950974687,38.9132082414,86.2944662997,34.3477062789,55.0360684235,64.8740878906,37.8795761475,85.5977770305,34.0157374683,53.6591775672
2016-11-18 00:00:00+00:00,64.8588645917,37.9664359873,85.9540385886,33.7058999116,53.8332672157,64.9121461376,38.8784643054,86.4528047699,33.7944249278,53.9836173667
2016-11-21 00:00:00+00:00,65.7950974687,39.6428308959,87.3711678975,34.4362312951,54.8382392775,65.8331557158,40.2682217426,87.2286632743,34.5616417347,54.7828471166
2016-11-22 00:00:00+00:00,65.9853887039,40.2074198548,87.7115956086,34.8124626139,55.257637067,65.9777770545,40.0163282071,87.5770079089,34.7386917671,54.8303261116
2016-11-23 00:00:00+00:00,65.8712139628,39.7123187678,87.4028355916,34.2886896015,54.4188414879,66.1604566402,40.2161058387,87.8778510024,34.2591812628,55.2734633987
2016-11-25 00:00:00+00:00,66.0006120027,39.7818066396,87.5136725208,34.4509854645,54.9727630968,66.3126896284,39.7383767197,87.8778510024,34.3845917023,55.1943317403
2016-11-28 00:00:00+00:00,66.1832915885,40.580917166,87.8382663848,34.3772146177,55.5345978715,65.8179324169,39.5212271201,87.4820048267,34.229672924,54.118141186
2016-11-29 00:00:00+00:00,65.0187092293,38.62657077,86.3736355348,34.0821312304,53.318911436,65.3840684008,38.4181071544,86.5636416991,34.6059042428,53.469261587
2016-11-30 00:00:00+00:00,66.6780487999,40.2161058387,88.7091279714,35.0337751544,54.9648499309,66.4496993177,42.1443942828,88.3211987192,35.1591855939,56.4683514407
2016-12-01 00:00:00+00:00,66.9672914773,43.551523688,89.2949803114,35.2329564408,57.6869789802,66.4040294212,41.8838147634,89.6908264871,35.2255793561,56.3971329481
2016-12-02 00:00:00+00:00,66.3659711742,41.7361530357,89.6195741754,35.0263980697,56.2626091288,66.2517964331,41.7969549235,89.4612357052,35.2477106101,56.0647799828
2016-12-05 00:00:00+00:00,66.5182041623,42.4136597863,89.7699957222,35.3878752191,56.4129592798,66.586709007,42.4570897062,89.659158793,35.5354169127,56.1676511388
2016-12-06 00:00:00+00:00,66.4268643695,42.1009643629,88.9783033708,35.4911544046,55.7719928467,66.6476022022,43.3430600724,89.2712295408,35.7272211145,55.7166006858
2016-12-07 00:00:00+00:00,66.7008837481,42.9608767772,89.4929033992,36.014927417,55.621439794,67.035796322,43.3430600724,90.6012726911,36.2436170422,54.9173709359
2016-12-08 00:00:00+00:00,67.0205730232,43.5080937681,90.830863473,36.1919774494,55.1733959752,67.2260875571,43.2388282646,91.1792081076,36.1477149413,55.4614241445
2016-12-09 00:00:00+00:00,67.4696603381,43.4038619603,91.0367034844,35.9854190783,55.5894366641,67.7436797168,44.0987406789,91.6858912125,36.2657482962,56.4695227368
2016-12-12 00:00:00+00:00,68.6114077491,45.3060924525,93.2376082212,36.9223088329,57.8056534108,69.2507862992,44.6285857018,92.7467589634,36.804275478,57.1175861176
2016-12-13 00:00:00+00:00,69.9434463952,45.3929522923,93.3405282269,36.8854234095,57.6056338488,70.4686502042,45.7230196836,92.9605158982,37.2764088977,57.8856612356
2016-12-14 00:00:00+00:00,70.2250774232,45.3755803243,92.3984143287,37.128867204,57.3816119394,68.946320323,44.7241315256,91.8046450652,36.4723066673,56.773552471
2016-12-15 00:00:00+00:00,68.5809611515,44.4027501183,91.5433865893,36.2509941269,56.2615023924,69.1822814546,44.9412811252,92.6675897282,36.6567337844,57.0455790753
2016-12-16 00:00:00+00:00,69.6618153672,45.1497447408,93.2930266858,36.9923711939,57.7976526283,69.4030192874,45.1150008048,93.4830328501,37.1941477641,58.7577465258
2016-12-19 00:00:00+00:00,69.5552522755,45.1671167087,93.712623632,37.0745764632,58.5737285288,68.8245339325,45.1497447408,93.142605139,36.5066127843,57.9816706253
2016-12-20 00:00:00+00:00,68.8930387771,45.3582083563,93.3009436093,36.9325855435,58.0616784501,68.8321455819,44.7762474295,93.3801128445,36.5813448473,57.909663583
2016-12-21 00:00:00+00:00,69.022436817,45.028140965,93.6888728615,37.0671032569,58.1736894048,68.7179708408,44.7154455416,93.3484451504,37.0147908128,57.7336463685
2016-12-22 00:00:00+00:00,68.5200679562,44.7762474295,93.3721959209,37.366031509,57.6696401087,69.1670581558,44.7675614455,94.0293005726,37.4108707468,57.8936620181
2016-12-23 00:00:00+00:00,69.1822814546,44.5938417659,93.7442913261,37.762111443,57.7816510634,69.0452717653,44.6198997178,93.7522082496,37.5229688414,57.6936424561
2016-12-27 00:00:00+00:00,69.1366115581,44.6893875897,93.8155436377,37.68737938,57.6856416736,69.0757183629,44.8196773494,93.5938697793,37.7172722052,57.8856612356
2016-12-28 00:00:00+00:00,69.022436817,44.7067595577,93.6651220909,37.8144238871,57.8696596706,68.7331941396,44.0987406789,93.3484451504,37.5752812855,57.5016236766
2016-12-29 00:00:00+00:00,68.5809611515,44.0031948551,93.4276143855,37.9863076321,57.4536189817,68.7712523866,43.8989630473,93.2771928388,37.8293702997,57.2856025497
2016-12-30 00:00:00+00:00,68.5276796056,43.7860452555,92.9763497453,38.1133521392,57.2135955074,68.702747542,43.551523688,93.1821897566,38.0909325203,56.989573598
2017-01-03 00:00:00+00:00,69.2203397016,44.1421705988,93.7205405555,38.158191377,57.8216549758,69.1822814546,43.9597649352,93.3009436093,38.0162004573,57.8216549758
2017-01-04 00:00:00+00:00,69.3573493909,44.037938791,93.7442913261,38.2105038211,57.5496283715,68.4211165139,44.3680061823,93.2771928388,38.2030306148,57.1895931599
2017-01-05 00:00:00+00:00,68.6494659961,44.4809239741,93.419697462,38.3226019156,57.0615806403,67.4011554935,44.2377164226,92.8734297396,38.6738426118,56.5015258667
2017-01-06 00:00:00+00:00,67.5838350792,44.3158902785,92.9842666688,38.3151287093,56.5015258667,67.3630972464,44.0726827269,92.5013343344,38.2254502337,56.8695618608
2017-01-09 00:00:00+00:00,67.1499710631,43.6644414798,92.0659035412,37.9414683943,56.4215180419,66.2517964331,43.1345964568,91.7096419831,37.8218970934,56.389514912
2017-01-10 00:00:00+00:00,66.3507478754,43.3256881045,91.4879681247,38.0984057266,56.3975156945,65.406903349,43.1345964568,91.0129527138,37.8293702997,55.4854264919
2017-01-11 00:00:00+00:00,65.3840684008,43.3951759763,91.1633742606,37.9265219816,55.5254304043,66.0767284968,44.4896099581,91.7808942947,38.2702894715,55.4854264919
2017-01-12 00:00:00+00:00,66.4268643695,44.7328175096,92.232158935,38.8083603253,55.6294405765,65.7189809747,43.560209672,91.9629835355,38.7186818496,55.2294014526
2017-01-13 00:00:00+00:00,65.6656994288,43.3430600724,91.7254758301,38.8830923883,55.1573944103,65.7265926241,43.9423929672,92.1371558528,38.554271311,55.269405365
2017-01-17 00:00:00+00:00,65.9016605604,43.9163350153,92.1529896998,38.6887890244,55.7974570086,66.4953692141,43.560209672,92.0579866177,38.4944856606,55.7894562261
2017-01-18 00:00:00+00:00,66.2670197319,43.2562002326,91.5829712068,38.23292344,55.437421797,65.6733110782,43.6644414798,91.7888112182,38.2553430589,55.4614241445
2017-01-19 00:00:00+00:00,65.4373499466,43.6036395919,91.7492266006,38.158191377,55.6694444889,64.4935054202,43.3083161365,91.5038019717,37.8592631249,54.9893779782
2017-01-20 00:00:00+00:00,65.0339325281,43.7686732876,92.0896543117,38.4645928354,55.4854264919,65.3764567514,44.063996743,91.5196358187,38.23292344,54.8773670235
2017-01-23 00:00:00+00:00,65.2166121138,43.6557554958,91.1396234901,38.1208253455,54.6373435491,64.676185006,43.3778040083,91.3533804249,38.0460932825,54.3973200748
2017-01-24 00:00:00+00:00,64.6837966554,43.551523688,91.7175589066,38.1955574085,54.7573552863,64.7675247989,43.6644414798,92.1292389293,38.2852358841,54.301310685
2017-01-25 00:00:00+00:00,64.957816034,43.7860452555,92.5488358755,38.5692177236,54.485328682,64.957816034,44.029252807,92.818011275,38.4720660417,54.5093310295
2017-01-26 00:00:00+00:00,65.2242237632,43.9771369031,93.0238512863,38.1731377896,54.6293427666,65.1557189186,43.9771369031,92.2717435525,37.9564148069,54.8453638936
2017-01-27 00:00:00+00:00,64.9273694364,43.7165573837,89.8808326514,37.8816827438,54.701349809,65.0872140739,42.9348188252,90.0866726627,37.6649597611,55.1653951927
